product_id,brand,product_name,price,capacity_L,size_cm,powerconsumptiongrade,door_count,image,numberofusers
0,캐리어,캐리어 클라윈드 KRFT-122ABPWO,209700,122,48.5 * 110.3 * 52.5,4,20,https://photo3.enuri.info/data/images/service/dnw/master/107460000/107460954.jpg,1
1,SMEG,냉장고 FAB28 토프,5600000,270,60*72*153,1,10,https://smegkorea.com/upload/product/2022012416290215473.png,2
2,Ccomo,꼬모냉장고 BT21 COOKY [쿠키] (실리콘),290000,11,36*30*34,-1,10,//ccomo.kr/web/product/medium/202210/252a3f8b9f722feb033ab58689a3364e.jpg,1
3,KAKAO,카카오프렌즈 레트로 미니 냉장고 어피치 KAO133A 133리터,439000,133,48*56*146,-1,20,https://cdn-pro-web-228-145.cdn-nhncommerce.com/umaxtv_godomall_com/data/goods/21/11/46/1000000030/1000000030_detail_071.jpg,1
4,LG전자,LG전자  A320S,702000,321,59.5 * 186 * 6.7,-1,10,https://photo3.enuri.info/data/images/service/middle/65886000/65886554.jpg,2
5,삼성전자,삼성전자  RT25NARAHS8,372990,255,55.5 * 163.5 * 63.7,2,20,https://photo3.enuri.info/data/images/service/middle/30681000/30681600.jpg,2
6,캐리어,캐리어 클라윈드 KRD-T182VEH1,242100,182,50 * 140 * 58,3,20,https://photo3.enuri.info/data/images/service/dnw/master/79776000/79776991.jpg,1
7,Ccomo,꼬모냉장고 BT21 TATA [타타] (실리콘),290000,11,36*30*34,-1,10,//ccomo.kr/web/product/medium/202210/252a3f8b9f722feb033ab58689a3364e.jpg,1
8,LG전자,LG전자  B502S33,593990,507,78 * 180 * 73,3,20,https://photo3.enuri.info/data/images/service/middle/76443000/76443018.jpg,4
9,KAKAO,카카오프렌즈 레트로 미니 냉장고 라이언 KAO133R 133리터,439000,133,48*56*146,-1,20,https://cdn-pro-web-228-145.cdn-nhncommerce.com/umaxtv_godomall_com/data/goods/21/11/46/1000000029/1000000029_detail_048.jpg,1
10,SMEG,냉장고 FAB5 오렌지,2100000,34,40*50*73,-1,10,https://smegkorea.com/upload/product/2022012415522378331.png,1
11,SMEG,냉장고 FAB28 에메랄드그린,5200000,270,60*72*153,1,10,https://smegkorea.com/upload/product/2022012416304757429.png,2
12,Ccomo,꼬모냉장고 BT21 CHIMMY [치미] (실리콘),290000,11,36*30*34,-1,10,//ccomo.kr/web/product/medium/202210/252a3f8b9f722feb033ab58689a3364e.jpg,1
13,KAKAO,카카오프렌즈 레트로 미니 냉장고 라이언 KAO80R 80리터,339000,80,48*56*92,-1,20,https://cdn-pro-web-228-145.cdn-nhncommerce.com/umaxtv_godomall_com/data/goods/21/11/46/1000000031/1000000031_detail_053.jpg,1
14,LG전자,LG전자  B332S34,426030,355,60 * 172 * 71,4,20,https://image.enuri.info/webimage_300/16412000000/16412000000/16412008549.jpg,2
